Date,Open,High,Low,Close
9/17/2021,38.580002,38.700001,38.240002,38.389999
9/20/2021,37.779999,38.040001,37.369999,37.990002
9/21/2021,38.119999,38.209999,37.279999,37.310001
9/22/2021,37.59,37.689999,37.130001,37.32
9/23/2021,37.560001,37.919998,37.529999,37.790001
9/24/2021,37.669998,38.619999,37.560001,38.389999
9/27/2021,38.349998,38.810001,38.27,38.48
9/28/2021,38.43,38.560001,37.529999,37.610001
9/29/2021,37.650002,37.880001,36.970001,37.130001
9/30/2021,37.290001,37.470001,36.48,36.490002
10/1/2021,36.779999,37.209999,36.220001,36.98
10/4/2021,36.82,37.279999,36.330002,36.560001
10/5/2021,36.509998,37.209999,36.360001,36.900002
10/6/2021,36.619999,36.830002,35.970001,36.369999
10/7/2021,36.77,37.27,36.599998,36.939999
10/8/2021,37.220001,37.689999,37.040001,37.16
10/11/2021,37.150002,37.610001,36.889999,36.919998
10/12/2021,36.91,37.040001,36.34,36.419998
10/13/2021,36.52,36.919998,36.23,36.849998
10/14/2021,37.220001,37.889999,37.099998,37.689999
10/15/2021,37.900002,38.259998,37.75,37.950001
10/18/2021,37.700001,38.009998,37.43,37.82
10/19/2021,38.060001,38.189999,37.720001,37.91
10/20/2021,38.009998,38.509998,37.860001,38.330002
10/21/2021,38.130001,38.490002,37.990002,38.459999
10/22/2021,38.439999,38.650002,37.93,38.23
10/25/2021,38.400002,38.900002,38.169998,38.610001
10/26/2021,36.549999,36.93,36.029999,36.580002
10/27/2021,36.48,36.700001,35.240002,35.389999
10/28/2021,35.540001,35.950001,35.380001,35.639999
10/29/2021,35.52,36.009998,35.41,35.57
11/1/2021,35.580002,36.59,35.529999,36.439999
11/2/2021,36.5,37.029999,36.330002,36.959999
11/3/2021,36.869999,37.240002,36.740002,37.060001
11/4/2021,37.07,37.139999,36.419998,36.669998
11/5/2021,36.950001,38.549999,36.889999,38.34
11/8/2021,38.549999,38.82,38.150002,38.470001
11/9/2021,38.509998,38.939999,38.189999,38.220001
11/10/2021,37.919998,38.279999,37.66,37.869999
11/11/2021,37.990002,38.580002,37.82,38.259998
11/12/2021,38.41,39.279999,38.279999,39.119999
11/15/2021,39.240002,39.240002,38.599998,38.700001
11/16/2021,38.700001,39.049999,38.57,38.650002
11/17/2021,38.529999,38.689999,38.02,38.200001
11/18/2021,38.310001,38.389999,37.830002,38.330002
11/19/2021,38.32,38.32,37.639999,37.650002
11/22/2021,37.790001,39.200001,37.709999,38.709999
11/23/2021,38.939999,39.490002,38.709999,39.43
11/24/2021,39.310001,39.490002,38.98,39.040001
11/26/2021,38.130001,38.57,37.68,37.959999
11/29/2021,38.32,38.880001,38.029999,38.459999
11/30/2021,38.200001,38.279999,36.98,37.09
12/1/2021,37.82,38.41,36.830002,36.849998
12/2/2021,37.07,37.779999,36.91,37.529999
12/3/2021,37.529999,37.830002,36.869999,37.130001
12/6/2021,37.5,38.02,36.93,37.66
12/7/2021,37.98,38.639999,37.93,38.23
12/8/2021,38.23,38.52,38.060001,38.32
12/9/2021,38.209999,38.470001,37.529999,37.549999
12/10/2021,37.84,38.169998,37.439999,37.610001
12/13/2021,37.48,37.52,36.48,36.93
12/14/2021,36.880001,37.299999,36.689999,36.779999
12/15/2021,36.830002,37.279999,36.619999,37.200001
12/16/2021,37.369999,37.700001,37.080002,37.099998
12/17/2021,36.889999,37.119999,36.43,36.689999
12/20/2021,36.18,36.220001,35.369999,36.099998
12/21/2021,36.34,36.380001,35.759998,36.259998
12/22/2021,36.279999,36.599998,36.18,36.380001
12/23/2021,36.549999,37.02,36.459999,36.75
12/27/2021,36.849998,37.380001,36.790001,37.369999
12/28/2021,37.389999,37.48,37.040001,37.349998
12/29/2021,37.299999,37.84,37.299999,37.509998
12/30/2021,37.599998,37.860001,37.16,37.209999
12/31/2021,37.169998,37.41,37.09,37.23
1/3/2022,37.400002,37.599998,36.939999,37.189999
1/4/2022,37.419998,38.459999,37.330002,38.009998
1/5/2022,38.369999,39.150002,38.16,38.18
1/6/2022,38.209999,38.610001,37.759998,38.330002
1/7/2022,38.279999,38.75,37.810001,37.970001
1/10/2022,37.91,38.099998,37.16,37.599998
1/11/2022,37.720001,38.049999,37.209999,38.040001
1/12/2022,38.27,38.689999,37.77,38.169998
1/13/2022,38.07,38.52,37.98,38.09
1/14/2022,36.84,37.720001,36.630001,37.09
1/18/2022,37.169998,37.169998,36.490002,36.650002
1/19/2022,36.77,36.860001,35.950001,35.959999
1/20/2022,36.02,36.389999,35.049999,35.130001
1/21/2022,35.130001,35.709999,34.889999,35.060001
1/24/2022,34.509998,35.43,33.93,35.330002
1/25/2022,34.700001,35.57,34.25,35.299999
1/26/2022,40.599998,41.119999,38.91,39.240002
1/27/2022,40.220001,41.68,40.009998,40.560001
1/28/2022,40.669998,42.139999,40.669998,42.119999
1/31/2022,41.639999,42.400002,41.369999,42.040001
2/1/2022,42.169998,42.279999,41.77,42.169998
2/2/2022,42.529999,42.84,42.169998,42.740002
2/3/2022,42.939999,43.18,42.5,42.610001
2/4/2022,42.450001,42.84,41.799999,42.189999
2/7/2022,42.669998,42.77,42.110001,42.200001
2/8/2022,42.57,42.84,42.310001,42.740002
2/9/2022,43.16,43.18,42.759998,42.950001
2/10/2022,42.490002,43.470001,42.279999,42.490002
2/11/2022,42.59,42.900002,41.630001,41.869999
2/14/2022,42.16,42.25,41.029999,41.290001
