Date, Open, High, Low, Close
6/30/2015,5.06,5.0825,4.9925,5.0275
6/29/2015,5.125,5.1775,5.0225,5.03
6/26/2015,5.25,5.2925,5.1625,5.185
6/25/2015,5.2525,5.325,5.2525,5.2925
6/24/2015,5.2975,5.325,5.2275,5.2525
6/23/2015,5.455,5.4975,5.2625,5.305
6/22/2015,5.4775,5.5075,5.3625,5.4438
6/19/2015,5.485,5.53,5.4175,5.4675
6/18/2015,5.44,5.52,5.425,5.485
6/17/2015,5.33,5.425,5.3175,5.395
6/16/2015,5.2575,5.34,5.205,5.3325
6/15/2015,5.25,5.2913,5.21,5.2675
6/12/2015,5.39,5.4225,5.265,5.2775
6/11/2015,5.3675,5.4625,5.3675,5.425
6/10/2015,5.4,5.435,5.3375,5.3675
6/9/2015,5.4425,5.505,5.4325,5.465
6/8/2015,5.5475,5.585,5.375,5.4375
6/5/2015,5.505,5.59,5.4475,5.565
6/4/2015,5.3925,5.54,5.3925,5.5225
6/3/2015,5.5,5.5425,5.415,5.425
6/2/2015,5.56,5.59,5.48,5.4838
6/1/2015,5.5675,5.65,5.5325,5.595
5/29/2015,5.535,5.57,5.525,5.5325
5/28/2015,5.46,5.5535,5.45,5.535
5/27/2015,5.2175,5.4838,5.2,5.46
5/26/2015,5.19,5.225,5.1435,5.1825
5/22/2015,5.235,5.2538,5.2025,5.215
5/21/2015,5.2625,5.285,5.2175,5.2225
5/20/2015,5.2625,5.325,5.255,5.26
5/19/2015,5.3,5.3175,5.25,5.26
5/18/2015,5.3125,5.35,5.2875,5.3175
5/15/2015,5.345,5.37,5.2925,5.325
5/14/2015,5.2525,5.35,5.24,5.3225
5/13/2015,5.245,5.285,5.1875,5.2375
5/12/2015,5.12,5.25,5.1175,5.2075
5/11/2015,5.135,5.21,5.095,5.1575
5/8/2015,5.2525,5.46,5.1225,5.2063
5/7/2015,5.5025,5.64,5.485,5.6225
5/6/2015,5.5375,5.59,5.4525,5.525
5/5/2015,5.6325,5.64,5.4825,5.5075
5/4/2015,5.6825,5.72,5.635,5.6525
5/1/2015,5.595,5.705,5.57,5.6875
4/30/2015,5.5075,5.5763,5.495,5.5488
4/29/2015,5.5375,5.5925,5.5125,5.535
4/28/2015,5.54,5.5963,5.4875,5.5763
4/27/2015,5.525,5.6475,5.4775,5.55
4/24/2015,5.5525,5.555,5.445,5.5075
4/23/2015,5.475,5.6075,5.4125,5.555
4/22/2015,5.5475,5.585,5.4625,5.5775
4/21/2015,5.59,5.59,5.4875,5.5138
4/20/2015,5.575,5.61,5.5125,5.5225
4/17/2015,5.505,5.605,5.5025,5.55
4/16/2015,5.625,5.6725,5.5825,5.6225
4/15/2015,5.605,5.6988,5.5775,5.6575
4/14/2015,5.615,5.6375,5.536,5.59
4/13/2015,5.6775,5.71,5.6125,5.6375
4/10/2015,5.6375,5.6925,5.6175,5.69
4/9/2015,5.4625,5.65,5.46,5.6313
4/8/2015,5.47,5.525,5.4175,5.505
4/7/2015,5.4175,5.525,5.3875,5.465
4/6/2015,5.2425,5.435,5.1875,5.4163
4/2/2015,5.2825,5.2975,5.22,5.265
4/1/2015,5.2525,5.27,5.1625,5.2525
3/31/2015,5.3525,5.3575,5.2275,5.2313
3/30/2015,5.37,5.395,5.3,5.3675
3/27/2015,5.2725,5.365,5.1875,5.345
3/26/2015,5.1525,5.2638,5.115,5.2413
3/25/2015,5.5975,5.5975,5.2425,5.26
3/24/2015,5.66,5.7,5.575,5.6
3/23/2015,5.6925,5.7675,5.675,5.6775
3/20/2015,5.8525,5.9013,5.7975,5.8675
3/19/2015,5.7375,5.825,5.695,5.8038
3/18/2015,5.8125,5.8425,5.665,5.7175
3/17/2015,5.73,5.815,5.69,5.8125
3/16/2015,5.72,5.7775,5.6825,5.7425
3/13/2015,5.64,5.69,5.5625,5.675
3/12/2015,5.665,5.7075,5.56,5.6675
3/11/2015,5.75,5.825,5.7038,5.72
3/10/2015,5.6775,5.7873,5.6675,5.7488
3/9/2015,5.64,5.695,5.6275,5.6525
3/6/2015,5.6825,5.71,5.6313,5.6375
3/5/2015,5.6075,5.725,5.5925,5.715
3/4/2015,5.525,5.62,5.5025,5.6075
3/3/2015,5.6075,5.635,5.5275,5.545
3/2/2015,5.5,5.68,5.4928,5.6488
2/27/2015,5.535,5.5475,5.4953,5.515
2/26/2015,5.54,5.5813,5.505,5.55
2/25/2015,5.555,5.58,5.5088,5.535
2/24/2015,5.54,5.5775,5.49,5.5775
2/23/2015,5.5825,5.5825,5.5125,5.54
2/20/2015,5.54,5.5875,5.5,5.5838
2/19/2015,5.6,5.61,5.52,5.5438
2/18/2015,5.5875,5.5975,5.52,5.53
2/17/2015,5.5675,5.6225,5.5325,5.5938
2/13/2015,5.5625,5.585,5.4775,5.5775
2/12/2015,5.5,5.625,5.4675,5.575
2/11/2015,5.25,5.25,5.1675,5.2025
2/10/2015,5.1,5.24,5.0775,5.2375
2/9/2015,5.07,5.11,5.0375,5.095
2/6/2015,5.1175,5.1775,5.0775,5.1
2/5/2015,5.045,5.125,5.04,5.1213
2/4/2015,5.0125,5.0963,4.9963,5.04
2/3/2015,4.94,5.0325,4.915,5.0275
2/2/2015,4.83,4.925,4.735,4.905
1/30/2015,4.91,4.9673,4.7925,4.8012
1/29/2015,4.83,4.9725,4.8075,4.945
1/28/2015,4.9675,4.9875,4.825,4.8275
1/27/2015,5.075,5.08,4.8975,4.9075
1/26/2015,5.155,5.18,5.1225,5.1537
1/23/2015,5.1675,5.1863,5.125,5.1775
1/22/2015,5.085,5.1762,5.0325,5.1625
1/21/2015,4.9775,5.0875,4.9425,5.075
1/20/2015,5.025,5.0525,4.9425,5.005
1/16/2015,4.8925,4.995,4.8775,4.99
1/15/2015,4.97,5,4.8975,4.9
1/14/2015,4.8625,4.95,4.85,4.935
1/13/2015,4.96,5.06,4.8813,4.9138
1/12/2015,4.9975,4.9988,4.8775,4.9225
1/9/2015,4.9825,5.0225,4.9138,4.985
1/8/2015,4.84,4.995,4.8375,4.965
1/7/2015,4.8325,4.875,4.77,4.7838
1/6/2015,4.955,4.96,4.7925,4.7975
1/5/2015,5.0325,5.0475,4.925,4.9475
1/2/2015,5.0325,5.07,4.9528,5.0325
